No,x,y,r
400,44,126,11
401,48,122,9
402,48,116,12
403,46,118,10
404,46,118,16
405,46,116,17
406,40,114,16
407,40,110,14
408,42,114,12
409,32,118,15
410,56,114,12
411,44,112,16
412,34,126,17
413,36,122,19
414,30,116,10
415,38,114,13
416,46,106,10
417,44,110,10
418,42,102,12
419,34,124,16
420,36,106,13
421,46,102,15
422,60,92,24
423,48,162,22
424,46,160,20
425,42,100,13
426,42,96,17
427,58,150,14
428,52,102,17
429,52,94,24
430,52,146,12
431,48,148,14
432,52,154,16
433,40,88,17
434,54,148,15
435,48,152,13
436,52,148,17
437,54,148,17
438,52,142,19
439,38,78,17
440,44,80,14
441,42,78,19
442,54,78,17
443,40,80,17
444,38,68,17
445,48,76,15
446,44,70,14
447,48,134,18
448,54,138,14
449,48,134,15
450,40,62,19
451,38,72,15
452,46,124,17
453,34,54,17
454,38,46,14
455,38,54,19
456,34,54,15
457,42,54,22
458,44,118,17
459,40,50,17
460,40,50,17
461,38,50,16
462,38,46,17
463,38,42,22
464,40,44,24
465,42,40,17
466,36,38,16
467,40,34,14
468,46,102,19
469,38,34,19
470,40,34,17
471,44,100,17
472,46,32,13
473,42,32,17
474,44,26,17
475,40,26,17
476,46,24,15
477,42,20,19
478,42,20,19
479,42,20,19
480,44,88,18
481,46,30,17
482,42,18,17
483,52,74,14
484,48,100,22
485,36,76,15
486,48,50,18
487,34,84,10
488,36,80,17
489,50,76,13
490,36,80,15
491,38,86,12
492,40,76,19
493,44,78,16
494,38,76,14
495,42,72,17
496,34,68,16
497,40,62,17
498,36,66,19
499,38,62,17
500,40,72,12
501,36,52,16
502,52,160,12
503,34,58,17
504,66,158,17
505,72,148,25
506,38,52,16
507,84,112,18
508,72,156,17
509,40,50,15
510,38,60,17
511,66,156,17
512,32,42,17
513,58,152,17
514,78,114,17
515,40,46,22
516,66,160,17
517,36,46,14
518,70,142,12
519,58,144,16
520,32,36,15
521,80,104,17
522,40,36,19
523,74,138,10
524,44,38,22
525,64,152,17
526,40,40,17
527,58,146,17
528,48,40,19
529,66,142,13
530,78,138,27
531,44,34,17
532,34,36,17
533,78,144,19
534,44,32,22
535,58,166,17
536,42,34,14
537,64,134,14
538,38,28,17
539,56,136,12
540,44,28,17
